# y   z   Energy(Ry)
0.133333   0.933332   -441.52304680
0.133333   0.966666   -439.63638795
0.133333   0.999999   -438.85936449
0.166667   0.000000   -443.66247853
0.166667   0.033333   -443.98700118
0.166667   0.066667   -444.82021794
0.166667   0.100000   -445.85472297
0.166667   0.133333   -446.82914360
0.166667   0.166667   -447.62214927
0.166667   0.200000   -448.21800328
0.166667   0.233333   -448.64866346
0.166667   0.266666   -448.95719753
0.166667   0.300000   -449.18041656
0.166667   0.333333   -449.34384402
0.166667   0.366666   -449.46340002
0.166667   0.400000   -449.54881635
0.166667   0.433333   -449.60613547
0.166667   0.466666   -449.63912296
0.166667   0.500000   -449.64989620
0.166667   0.533333   -449.63912361
0.166667   0.566666   -449.60613681
0.166667   0.599999   -449.54881847
0.166667   0.633333   -449.46340305
0.166667   0.666666   -449.34384819
0.166667   0.699999   -449.18042225
0.166667   0.733333   -448.95720535
0.166667   0.766666   -448.64867434
0.166667   0.799999   -448.21801847
0.166667   0.833333   -447.62214927
0.166667   0.866666   -446.82917038
0.166667   0.899999   -445.85475407
0.166667   0.933332   -444.82024757
0.166667   0.966666   -443.98701988
0.166667   0.999999   -443.66247861
0.200000   0.000000   -446.16708515
0.200000   0.033333   -446.31340828
0.200000   0.066667   -446.70455724
0.200000   0.100000   -447.22348652
0.200000   0.133333   -447.75216212
0.200000   0.166667   -448.21800328
0.200000   0.200000   -448.59608227
0.200000   0.233333   -448.89024552
0.200000   0.266666   -449.11491773
0.200000   0.300000   -449.28584498
0.200000   0.333333   -449.41543406
0.200000   0.366666   -449.51225543
0.200000   0.400000   -449.58225126
0.200000   0.433333   -449.62953743
0.200000   0.466666   -449.65683541
0.200000   0.500000   -449.66575947
0.200000   0.533333   -449.65683595
0.200000   0.566666   -449.62953853
0.200000   0.599999   -449.58225300
0.200000   0.633333   -449.51225791
0.200000   0.666666   -449.41543743
0.200000   0.699999   -449.28584943
0.200000   0.733333   -449.11492361
0.200000   0.766666   -448.89025322
0.200000   0.799999   -448.59609206
0.200000   0.833333   -448.21800328
0.200000   0.866666   -447.75217726
0.200000   0.899999   -447.22350273
0.200000   0.933332   -446.70457152
0.200000   0.966666   -446.31341681
0.200000   0.999999   -446.16708518
0.233333   0.000000   -447.52908104
0.233333   0.033333   -447.60072964
0.233333   0.066667   -447.79851336
0.233333   0.100000   -448.07346092
0.233333   0.133333   -448.37006358
0.233333   0.166667   -448.64866346
0.233333   0.200000   -448.89024552
0.233333   0.233333   -449.09073032
0.233333   0.266666   -449.25282575
0.233333   0.300000   -449.38140789
0.233333   0.333333   -449.48168046
0.233333   0.366666   -449.55792879
0.233333   0.400000   -449.61363766
0.233333   0.433333   -449.65140188
0.233333   0.466666   -449.67321611
0.233333   0.500000   -449.68036023
0.233333   0.533333   -449.67321654
0.233333   0.566666   -449.65140276
0.233333   0.599999   -449.61363904
0.233333   0.633333   -449.55793082
0.233333   0.666666   -449.48168309
0.233333   0.699999   -449.38141129
0.233333   0.733333   -449.25283008
0.233333   0.766666   -449.09073552
0.233333   0.799999   -448.89025215
0.233333   0.833333   -448.64866346
0.233333   0.866666   -448.37007235
0.233333   0.899999   -448.07346975
0.233333   0.933332   -447.79852073
0.233333   0.966666   -447.60073387
0.233333   0.999999   -447.52908103
0.266666   0.000000   -448.31006183
0.266666   0.033333   -448.34819343
0.266666   0.066667   -448.45597325
0.266666   0.100000   -448.61067904
0.266666   0.133333   -448.78492887
0.266666   0.166667   -448.95719753
0.266666   0.200000   -449.11491775
0.266666   0.233333   -449.25282575
0.266666   0.266666   -449.36913193
0.266666   0.300000   -449.46433675
0.266666   0.333333   -449.54007701
0.266666   0.366666   -449.59842579
0.266666   0.400000   -449.64124701
0.266666   0.433333   -449.67028036
0.266666   0.466666   -449.68704771
0.266666   0.500000   -449.69252454
0.266666   0.533333   -449.68704804
0.266666   0.566666   -449.67028104
0.266666   0.599999   -449.64124809
0.266666   0.633333   -449.59842729
0.266666   0.666666   -449.54007901
0.266666   0.699999   -449.46433930
0.266666   0.733333   -449.36913489
0.266666   0.766666   -449.25282956
0.266666   0.799999   -449.11492220
0.266666   0.833333   -448.95719753
0.266666   0.866666   -448.78493416
0.266666   0.899999   -448.61068410
0.266666   0.933332   -448.45597733
0.266666   0.966666   -448.34819569
0.266666   0.999999   -448.31006179
0.300000   0.000000   -448.78386116
0.300000   0.033333   -448.80613232
0.300000   0.066667   -448.86943265
0.300000   0.100000   -448.96208038
0.300000   0.133333   -449.06981875
0.300000   0.166667   -449.18041656
0.300000   0.200000   -449.28584498
0.300000   0.233333   -449.38140789
0.300000   0.266666   -449.46433675
0.300000   0.300000   -449.53356912
0.300000   0.333333   -449.58934953
