# Volume(a.u.^3)   Energy(Ry)
189.2883        -448.57922236  
183.4017        -448.58379288  
178.3599        -448.58614454  
173.9969        -448.58683051  
170.1350        -448.58624880  
166.6746        -448.58466263  
163.5289        -448.58224901  
160.6809        -448.57918384  
158.0664        -448.57556621  
155.6474        -448.57147583  
153.3611        -448.56690380  
151.2364        -448.56199542  
