# y   z   Energy(Ry)
0.000000   0.000000   
0.000000   0.041667   -369.90339718
0.000000   0.083333   -421.08609875
0.000000   0.125000   -437.06137732
0.000000   0.166667   -443.66247856
0.000000   0.208334   -446.58567660
0.000000   0.250000   -447.97074653
0.000000   0.291667   -448.68509639
0.000000   0.333334   -449.08975362
0.000000   0.375000   -449.33680397
0.000000   0.416667   -449.48837692
0.000000   0.458334   -449.57146745
0.000000   0.500000   -449.59796684
0.000000   0.541667   -449.57146616
0.000000   0.583334   -449.48837417
0.000000   0.625001   -449.33679934
0.000000   0.666667   -449.08974616
0.000000   0.708334   -448.68508387
0.000000   0.750001   -447.97072342
0.000000   0.791667   -446.58563004
0.000000   0.833334   -443.66237689
0.000000   0.875001   -437.06114245
0.000000   0.916667   -421.08609874
0.000000   0.958334   -369.90092449
0.000000   1.000001   
0.041667   0.000000   -369.90339718
0.041667   0.041667   -400.02610254
0.041667   0.083333   -426.32633050
0.041667   0.125000   -438.54105364
0.041667   0.166667   -444.15846046
0.041667   0.208334   -446.77272218
0.041667   0.250000   -448.05088548
0.041667   0.291667   -448.72433768
0.041667   0.333334   -449.11120387
0.041667   0.375000   -449.34904225
0.041667   0.416667   -449.49571783
0.041667   0.458334   -449.57633020
0.041667   0.500000   -449.60206298
0.041667   0.541667   -449.57632895
0.041667   0.583334   -449.49571517
0.041667   0.625001   -449.34903777
0.041667   0.666667   -449.11119671
0.041667   0.708334   -448.72432576
0.041667   0.750001   -448.05086388
0.041667   0.791667   -446.77267971
0.041667   0.833334   -444.15837113
0.041667   0.875001   -438.54085979
0.041667   0.916667   -426.32633049
0.041667   0.958334   -400.02523274
0.041667   1.000001   -369.90339713
0.083333   0.000000   -421.08609874
0.083333   0.041667   -426.32633049
0.083333   0.083333   -435.24455163
0.083333   0.125000   -441.68808925
0.083333   0.166667   -445.33166688
0.083333   0.208334   -447.24731554
0.083333   0.250000   -448.26442099
0.083333   0.291667   -448.83148405
0.083333   0.333334   -449.17015630
0.083333   0.375000   -449.38317840
0.083333   0.416667   -449.51629223
0.083333   0.458334   -449.58991831
0.083333   0.500000   -449.61349273
0.083333   0.541667   -449.58991717
0.083333   0.583334   -449.51628979
0.083333   0.625001   -449.38317435
0.083333   0.666667   -449.17014995
0.083333   0.708334   -448.83147377
0.083333   0.750001   -448.26440319
0.083333   0.791667   -447.24728278
0.083333   0.833334   -445.33160437
0.083333   0.875001   -441.68797208
0.083333   0.916667   -435.24455163
0.083333   0.958334   -426.32611954
0.083333   1.000001   -421.08609859
0.125000   0.000000   -437.06137730
0.125000   0.041667   -438.54105362
0.125000   0.083333   -441.68808925
0.125000   0.125000   -444.60043112
0.125000   0.166667   -446.60011857
0.125000   0.208334   -447.81957346
0.125000   0.250000   -448.54097537
0.125000   0.291667   -448.97696933
0.125000   0.333334   -449.25268299
0.125000   0.375000   -449.43218353
0.125000   0.416667   -449.54631080
0.125000   0.458334   -449.60990443
0.125000   0.500000   -449.63034044
0.125000   0.541667   -449.60990345
0.125000   0.583334   -449.54630871
0.125000   0.625001   -449.43218008
0.125000   0.666667   -449.25267771
0.125000   0.708334   -448.97696115
0.125000   0.750001   -448.54096215
0.125000   0.791667   -447.81955121
0.125000   0.833334   -446.60008110
0.125000   0.875001   -444.60037194
0.125000   0.916667   -441.68808925
0.125000   0.958334   -438.54098906
0.125000   1.000001   -437.06137716
0.166667   0.000000   -443.66247853
0.166667   0.041667   -444.15846044
0.166667   0.083333   -445.33166687
0.166667   0.125000   -446.60011858
0.166667   0.166667   -447.62214927
0.166667   0.208334   -448.33949762
0.166667   0.250000   -448.81564466
0.166667   0.291667   -449.13102921
0.166667   0.333334   -449.34384820
0.166667   0.375000   -449.48766829
0.166667   0.416667   -449.58071343
0.166667   0.458334   -449.63301536
0.166667   0.500000   -449.64989620
0.166667   0.541667   -449.63301454
0.166667   0.583334   -449.58071170
0.166667   0.625001   -449.48766549
0.166667   0.666667   -449.34384401
0.166667   0.708334   -449.13102305
0.166667   0.750001   -448.81563545
0.166667   0.791667   -448.33948362
0.166667   0.833334   -447.62212874
0.166667   0.875001   -446.60009041
0.166667   0.916667   -445.33166687
0.166667   0.958334   -444.15843809
0.166667   1.000001   -443.66247845
0.208334   0.000000   -446.58567657
0.208334   0.041667   -446.77272216
0.208334   0.083333   -447.24731553
0.208334   0.125000   -447.81957345
0.208334   0.166667   -448.33949762
0.208334   0.208334   -448.75008090
0.208334   0.250000   -449.05449203
0.208334   0.291667   -449.27480595
0.208334   0.333334   -449.43262368
0.208334   0.375000   -449.54282942
0.208334   0.416667   -449.61529305
0.208334   0.458334   -449.65631286
0.208334   0.500000   -449.66958210
0.208334   0.541667   -449.65631222
0.208334   0.583334   -449.61529170
0.208334   0.625001   -449.54282726
0.208334   0.666667   -449.43262052
0.208334   0.708334   -449.27480149
0.208334   0.750001   -449.05448583
0.208334   0.791667   -448.75007263
0.208334   0.833334   -448.33948638
0.208334   0.875001   -447.81955994
0.208334   0.916667   -447.24731553
0.208334   0.958334   -446.77271355
0.208334   1.000001   -446.58567655
0.250000   0.000000   -447.97074650
0.250000   0.041667   -448.05088546
0.250000   0.083333   -448.26442098
0.250000   0.125000   -448.54097538
0.250000   0.166667   -448.81564466
0.250000   0.208334   -449.05449203
0.250000   0.250000   -449.24849606
0.250000   0.291667   -449.39917062
0.250000   0.333334   -449.51196369
0.250000   0.375000   -449.59277882
0.250000   0.416667   -449.64649987
0.250000   0.458334   -449.67694239
0.250000   0.500000   -449.68679963
0.250000   0.541667   -449.67694191
0.250000   0.583334   -449.64649887
0.250000   0.625001   -449.59277722
0.250000   0.666667   -449.51196139
0.250000   0.708334   -449.39916749
0.250000   0.750001   -449.24849216
0.250000   0.791667   -449.05448683
0.250000   0.833334   -448.81563843
0.250000   0.875001   -448.54096855
0.250000   0.916667   -448.26442098
0.250000   0.958334   -448.05088171
0.250000   1.000001   -447.97074652
0.291667   0.000000   -448.68509637
0.291667   0.041667   -448.72433763
0.291667   0.083333   -448.83148404
0.291667   0.125000   -448.97696933
0.291667   0.166667   -449.13102921
0.291667   0.208334   -449.27480595
0.291667   0.250000   -449.39917063
0.291667   0.291667   -449.50018279
0.291667   0.333334   -449.57792827
0.291667   0.375000   -449.63426496
0.291667   0.416667   -449.67170431
0.291667   0.458334   -449.69288023
0.291667   0.500000   -449.69968662
0.291667   0.541667   -449.69287990
0.291667   0.583334   -449.67170362
0.291667   0.625001   -449.63426385
0.291667   0.666667   -449.57792668
0.291667   0.708334   -449.50018083
0.291667   0.750001   -449.39916791
0.291667   0.791667   -449.27480271
0.291667   0.833334   -449.13102559
0.291667   0.875001   -448.97696563
0.291667   0.916667   -448.83148404
0.291667   0.958334   -448.72433580
0.291667   1.000001   -448.68509642
0.333334   0.000000   -449.08975361
0.333334   0.041667   -449.11120386
0.333334   0.083333   -449.17015630
0.333334   0.125000   -449.25268299
0.333334   0.166667   -449.34384821
0.333334   0.208334   -449.43262370
0.333334   0.250000   -449.51196370
0.333334   0.291667   -449.57792828
0.333334   0.333334   -449.62906808
0.333334   0.375000   -449.66589734
0.333334   0.416667   -449.69011460
0.333334   0.458334   -449.70362489
0.333334   0.500000   -449.70790632
0.333334   0.541667   -449.70362468
0.333334   0.583334   -449.69011415
0.333334   0.625001   -449.66589662
0.333334   0.666667   -449.62906718
0.333334   0.708334   -449.57792687
0.333334   0.750001   -449.51196195
0.333334   0.791667   -449.43262166
0.333334   0.833334   -449.34384602
0.333334   0.875001   -449.25268086
0.333334   0.916667   -449.17015630
0.333334   0.958334   -449.11120285
0.333334   1.000001   -449.08975368
0.375000   0.000000   -449.33680396
0.375000   0.041667   -449.34904224
0.375000   0.083333   -449.38317837
0.375000   0.125000   -449.43218354
0.375000   0.166667   -449.48766830
0.375000   0.208334   -449.54282943
0.375000   0.250000   -449.59277883
0.375000   0.291667   -449.63426497
0.375000   0.333334   -449.66589735
0.375000   0.375000   -449.68806807
0.375000   0.416667   -449.70212402
0.375000   0.458334   -449.70958257
0.375000   0.500000   -449.71188119
0.375000   0.541667   -449.70958247
0.375000   0.583334   -449.70212376
0.375000   0.625001   -449.68806774
0.375000   0.666667   -449.66589671
0.375000   0.708334   -449.63426409
0.375000   0.750001   -449.59277773
0.375000   0.791667   -449.54282816
0.375000   0.833334   -449.48766695
0.375000   0.875001   -449.43218225
0.375000   0.916667   -449.38317840
0.375000   0.958334   -449.34904166
0.375000   1.000001   -449.33680403
0.416667   0.000000   -449.48837692
0.416667   0.041667   -449.49571784
0.416667   0.083333   -449.51629224
0.416667   0.125000   -449.54631081
0.416667   0.166667   -449.58071345
0.416667   0.208334   -449.61529306
0.416667   0.250000   -449.64649988
0.416667   0.291667   -449.67170433
0.416667   0.333334   -449.69011461
0.416667   0.375000   -449.70212402
0.416667   0.416667   -449.70886152
0.416667   0.458334   -449.71193899
0.416667   0.500000   -449.71277555
0.416667   0.541667   -449.71193896
0.416667   0.583334   -449.70886148
0.416667   0.625001   -449.70212380
0.416667   0.666667   -449.69011425
0.416667   0.708334   -449.67170380
0.416667   0.750001   -449.64649920
0.416667   0.791667   -449.61529225
0.416667   0.833334   -449.58071260
0.416667   0.875001   -449.54631002
0.416667   0.916667   -449.51629224
0.416667   0.958334   -449.49571749
0.416667   1.000001   -449.48837697
0.458334   0.000000   -449.57146746
0.458334   0.041667   -449.57633021
0.458334   0.083333   -449.58991832
0.458334   0.125000   -449.60990447
0.458334   0.166667   -449.63301539
0.458334   0.208334   -449.65631287
0.458334   0.250000   -449.67694240
0.458334   0.291667   -449.69288024
0.458334   0.333334   -449.70362489
0.458334   0.375000   -449.70958258
0.458334   0.416667   -449.71193900
0.458334   0.458334   -449.71233670
0.458334   0.500000   -449.71227016
0.458334   0.541667   -449.71233672
0.458334   0.583334   -449.71193897
0.458334   0.625001   -449.70958249
0.458334   0.666667   -449.70362470
0.458334   0.708334   -449.69287992
0.458334   0.750001   -449.67694195
0.458334   0.791667   -449.65631234
0.458334   0.833334   -449.63301482
0.458334   0.875001   -449.60990393
0.458334   0.916667   -449.58991832
0.458334   0.958334   -449.57632998
0.458334   1.000001   -449.57146748
0.500000   0.000000   -449.59796686
0.500000   0.041667   -449.60206299
0.500000   0.083333   -449.61349275
0.500000   0.125000   -449.63034045
0.500000   0.166667   -449.64989622
0.500000   0.208334   -449.66958212
0.500000   0.250000   -449.68679964
0.500000   0.291667   -449.69968664
0.500000   0.333334   -449.70790633
0.500000   0.375000   -449.71188120
0.500000   0.416667   -449.71277556
0.500000   0.458334   -449.71227016
0.500000   0.500000   -449.71189327
0.500000   0.541667   -449.71227017
0.500000   0.583334   -449.71277556
0.500000   0.625001   -449.71188115
0.500000   0.666667   -449.70790618
0.500000   0.708334   -449.69968639
0.500000   0.750001   -449.68679928
0.500000   0.791667   -449.66958166
0.500000   0.833334   -449.64989574
0.500000   0.875001   -449.63034001
0.500000   0.916667   -449.61349274
0.500000   0.958334   -449.60206280
0.500000   1.000001   -449.59796686
0.541667   0.000000   -449.57146617
0.541667   0.041667   -449.57632896
0.541667   0.083333   -449.58991718
0.541667   0.125000   -449.60990348
0.541667   0.166667   -449.63301457
0.541667   0.208334   -449.65631224
0.541667   0.250000   -449.67694192
0.541667   0.291667   -449.69287991
0.541667   0.333334   -449.70362469
0.541667   0.375000   -449.70958247
0.541667   0.416667   -449.71193896
0.541667   0.458334   -449.71233667
0.541667   0.500000   -449.71227017
0.541667   0.541667   -449.71233670
0.541667   0.583334   -449.71193893
0.541667   0.625001   -449.70958238
0.541667   0.666667   -449.70362448
0.541667   0.708334   -449.69287959
0.541667   0.750001   -449.67694148
0.541667   0.791667   -449.65631170
0.541667   0.833334   -449.63301400
0.541667   0.875001   -449.60990294
0.541667   0.916667   -449.58991718
0.541667   0.958334   -449.57632873
0.541667   1.000001   -449.57146615
0.583334   0.000000   -449.48837418
0.583334   0.041667   -449.49571517
0.583334   0.083333   -449.51628981
0.583334   0.125000   -449.54630872
0.583334   0.166667   -449.58071173
0.583334   0.208334   -449.61529172
0.583334   0.250000   -449.64649888
0.583334   0.291667   -449.67170363
0.583334   0.333334   -449.69011416
0.583334   0.375000   -449.70212377
0.583334   0.416667   -449.70886134
0.583334   0.458334   -449.71193897
0.583334   0.500000   -449.71277556
0.583334   0.541667   -449.71193893
0.583334   0.583334   -449.70886130
0.583334   0.625001   -449.70212355
0.583334   0.666667   -449.69011380
0.583334   0.708334   -449.67170311
0.583334   0.750001   -449.64649820
0.583334   0.791667   -449.61529092
0.583334   0.833334   -449.58071089
0.583334   0.875001   -449.54630793
0.583334   0.916667   -449.51628981
0.583334   0.958334   -449.49571483
0.583334   1.000001   -449.48837413
0.625001   0.000000   -449.33679933
0.625001   0.041667   -449.34903777
0.625001   0.083333   -449.38317436
0.625001   0.125000   -449.43218009
0.625001   0.166667   -449.48766551
0.625001   0.208334   -449.54282727
0.625001   0.250000   -449.59277724
0.625001   0.291667   -449.63426386
0.625001   0.333334   -449.66589663
0.625001   0.375000   -449.68806753
0.625001   0.416667   -449.70212380
0.625001   0.458334   -449.70958248
0.625001   0.500000   -449.71188114
0.625001   0.541667   -449.70958237
0.625001   0.583334   -449.70212352
0.625001   0.625001   -449.68806721
0.625001   0.666667   -449.66589598
0.625001   0.708334   -449.63426298
0.625001   0.750001   -449.59277613
0.625001   0.791667   -449.54282600
0.625001   0.833334   -449.48766416
0.625001   0.875001   -449.43217881
0.625001   0.916667   -449.38317436
0.625001   0.958334   -449.34903719
0.625001   1.000001   -449.33679926
0.666667   0.000000   -449.08974614
0.666667   0.041667   -449.11119670
0.666667   0.083333   -449.17014994
0.666667   0.125000   -449.25267771
0.666667   0.166667   -449.34384402
0.666667   0.208334   -449.43262053
0.666667   0.250000   -449.51196140
0.666667   0.291667   -449.57792668
0.666667   0.333334   -449.62906689
0.666667   0.375000   -449.66589671
0.666667   0.416667   -449.69011424
0.666667   0.458334   -449.70362469
0.666667   0.500000   -449.70790618
0.666667   0.541667   -449.70362449
0.666667   0.583334   -449.69011379
0.666667   0.625001   -449.66589598
0.666667   0.666667   -449.62906599
0.666667   0.708334   -449.57792527
0.666667   0.750001   -449.51195964
0.666667   0.791667   -449.43261849
0.666667   0.833334   -449.34384183
0.666667   0.875001   -449.25267556
0.666667   0.916667   -449.17014994
0.666667   0.958334   -449.11119569
0.666667   1.000001   -449.08974607
0.708334   0.000000   -448.68508385
0.708334   0.041667   -448.72432574
0.708334   0.083333   -448.83147376
0.708334   0.125000   -448.97696114
0.708334   0.166667   -449.13102305
0.708334   0.208334   -449.27480149
0.708334   0.250000   -449.39916749
0.708334   0.291667   -449.50018047
0.708334   0.333334   -449.57792687
0.708334   0.375000   -449.63426409
0.708334   0.416667   -449.67170379
0.708334   0.458334   -449.69287991
0.708334   0.500000   -449.69968637
0.708334   0.541667   -449.69287958
0.708334   0.583334   -449.67170309
0.708334   0.625001   -449.63426297
0.708334   0.666667   -449.57792527
0.708334   0.708334   -449.50017851
0.708334   0.750001   -449.39916478
0.708334   0.791667   -449.27479824
0.708334   0.833334   -449.13101942
0.708334   0.875001   -448.97695744
0.708334   0.916667   -448.83147376
0.708334   0.958334   -448.72432389
0.708334   1.000001   -448.68508379
0.750001   0.000000   -447.97072339
0.750001   0.041667   -448.05086386
0.750001   0.083333   -448.26440319
0.750001   0.125000   -448.54096214
0.750001   0.166667   -448.81563545
0.750001   0.208334   -449.05448584
0.750001   0.250000   -449.24849172
0.750001   0.291667   -449.39916791
0.750001   0.333334   -449.51196194
0.750001   0.375000   -449.59277772
0.750001   0.416667   -449.64649918
0.750001   0.458334   -449.67694194
0.750001   0.500000   -449.68679926
0.750001   0.541667   -449.67694147
0.750001   0.583334   -449.64649818
0.750001   0.625001   -449.59277612
0.750001   0.666667   -449.51195964
0.750001   0.708334   -449.39916478
0.750001   0.750001   -449.24848783
0.750001   0.791667   -449.05448063
0.750001   0.833334   -448.81562922
0.750001   0.875001   -448.54095533
0.750001   0.916667   -448.26440319
0.750001   0.958334   -448.05086011
0.750001   1.000001   -447.97072337
0.791667   0.000000   -446.58563001
